="Descriptive Statistics"
="",="(1)",="",="",="",="",=""
="",="count",="mean",="p50",="sd",="p25",="p75"
="max_min_surp_price_w1_100",="94030",="0.255",="0.071",="0.541",="0.021",="0.223"
="std_dev_surp_price_w1_100",="94030",="0.109",="0.031",="0.232",="0.010",="0.096"
="miss_and_beat_mbe_2",="94030",="0.093",="0.000",="0.290",="0.000",="0.000"
="mrt_32hr_w1",="88809",="18.547",="21.529",="10.957",="14.387",="26.453"
="abnormal_volatility_rh_w1",="87595",="1.038",="1.053",="0.886",="0.520",="1.592"
="abnormal_spread_w1",="89594",="0.166",="0.145",="0.271",="-0.003",="0.329"
="abnormal_depth_w1",="89509",="0.084",="0.082",="0.307",="-0.091",="0.249"
="abnormal_price_impact_w1",="89509",="1.457",="1.334",="0.722",="0.971",="1.808"
="car_0top1_100",="94030",="0.345",="0.189",="8.444",="-3.619",="4.282"
="unique_following",="94030",="3.085",="3.000",="0.959",="2.000",="4.000"
="high_stkcomp",="94030",="0.485",="0.000",="0.500",="0.000",="1.000"
="unexpected_item",="94030",="0.467",="0.000",="0.499",="0.000",="1.000"
="abs_spiq_ibq_w1",="94030",="0.359",="0.010",="1.128",="0.000",="0.176"
="percent_change_cshfdq_w1",="94030",="0.019",="0.005",="0.052",="0.002",="0.014"
="stock_split",="94030",="0.119",="0.000",="0.324",="0.000",="0.000"
="dispersion_w1",="94030",="0.002",="0.001",="0.003",="0.000",="0.002"
="log_lagmins_w1",="94030",="3.846",="3.497",="1.865",="2.639",="4.736"
="abs_ibes_surp_u_price_w1",="94030",="0.003",="0.001",="0.005",="0.000",="0.003"
="pos_surprise",="94030",="0.646",="1.000",="0.478",="0.000",="1.000"
="lnmve_w1",="94030",="7.672",="7.511",="1.587",="6.494",="8.672"
="btm_w1",="94030",="0.506",="0.431",="0.378",="0.243",="0.685"
="io_w1",="94030",="0.764",="0.810",="0.201",="0.656",="0.921"
="guidance",="94030",="0.226",="0.000",="0.418",="0.000",="0.000"
="percent_change_ibq_w1",="94030",="1.464",="0.401",="3.869",="0.155",="1.038"
="ret_vol_w1",="94030",="0.024",="0.020",="0.013",="0.015",="0.029"
="q4",="94030",="0.254",="0.000",="0.435",="0.000",="1.000"
="log_ea_count_w1",="94030",="5.349",="5.485",="0.750",="4.977",="5.935"
