="Determinants of Differences"

="",="(1)",="(2)",="(3)"
="",="Max less Min of Surprise Scaled By Price Winsorized",="Standard Deviation of Surprise Scaled By Price Winsorized",="Miss and Beat"

="sunique_following",="0.028***",="0.011***",="0.014***"
="",="(11.47)",="(10.63)",="(9.74)"

="high_stkcomp",="0.008*",="0.003",="0.025***"
="",="(1.76)",="(1.51)",="(8.57)"

="unexpected_item",="0.042***",="0.018***",="0.023***"
="",="(9.90)",="(9.90)",="(8.77)"

="sabs_spiq_ibq_w1",="0.029***",="0.012***",="0.014***"
="",="(11.95)",="(11.94)",="(10.42)"

="spercent_change_cshfdq_w1",="0.013***",="0.005***",="0.011***"
="",="(6.60)",="(6.36)",="(8.48)"

="stock_split",="-0.018***",="-0.008***",="0.001"
="",="(-3.50)",="(-3.50)",="(0.22)"

="sdispersion_w1",="0.204***",="0.084***",="0.047***"
="",="(36.02)",="(34.96)",="(20.81)"

="slog_lagmins_w1",="0.026***",="0.011***",="0.015***"
="",="(11.06)",="(10.91)",="(10.02)"

="sabs_ibes_surp_u_price_w1",="0.176***",="0.078***",="-0.014***"
="",="(23.89)",="(24.34)",="(-5.68)"

="pos_surprise",="-0.043***",="-0.019***",="-0.019***"
="",="(-12.31)",="(-12.78)",="(-7.49)"

="pos_sabs_ibes_surp_u_price_w1",="-0.047***",="-0.021***",="-0.015***"
="",="(-5.94)",="(-6.20)",="(-5.50)"

="slnmve_w1",="-0.052***",="-0.022***",="-0.016***"
="",="(-14.93)",="(-14.71)",="(-8.65)"

="sbtm_w1",="-0.000",="0.000",="-0.001"
="",="(-0.01)",="(0.28)",="(-0.45)"

="sio_w1",="-0.022***",="-0.009***",="-0.004***"
="",="(-7.01)",="(-7.11)",="(-2.58)"

="guidance",="0.032***",="0.014***",="-0.010***"
="",="(6.05)",="(6.16)",="(-2.86)"

="spercent_change_ibq_w1",="0.012***",="0.005***",="0.002"
="",="(5.21)",="(5.11)",="(1.57)"

="sret_vol_w1",="0.010***",="0.005***",="-0.002"
="",="(2.71)",="(2.99)",="(-1.11)"

="q4",="0.029***",="0.012***",="0.009***"
="",="(7.32)",="(7.20)",="(3.29)"

="slog_ea_count_w1",="0.001",="0.000",="0.002*"
="",="(0.25)",="(0.26)",="(1.78)"

="Constant",="0.247***",="0.107***",="0.082***"
="",="(49.09)",="(49.37)",="(26.64)"

="N",="94030",="94030",="94030"
="r2_a",="0.442",="0.437",="0.041"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
