="Consequences of Differences"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="MRT 32 Hour - Winsorized",="MRT 32 Hour - Winsorized",="MRT 32 Hour - Winsorized",="Abnormal Volatility - Winsorized",="Abnormal Volatility - Winsorized",="Abnormal Volatility - Winsorized",="Depths - Winsorized",="Depths - Winsorized",="Depths - Winsorized",="Price Impact - Winsorized",="Price Impact - Winsorized",="Price Impact - Winsorized"

="smax_min_surp_price_w1_100",="-0.274***",="",="",="-0.027***",="",="",="-0.010***",="",="",="0.008**",="",=""
="",="(-4.91)",="",="",="(-5.89)",="",="",="(-5.39)",="",="",="(2.40)",="",=""

="sunique_following",="-0.026",="-0.027",="-0.030",="-0.003",="-0.003",="-0.004",="-0.000",="-0.000",="-0.001",="-0.014***",="-0.014***",="-0.013***"
="",="(-0.52)",="(-0.54)",="(-0.61)",="(-0.85)",="(-0.87)",="(-1.03)",="(-0.33)",="(-0.36)",="(-0.51)",="(-4.66)",="(-4.65)",="(-4.57)"

="high_stkcomp",="0.007",="0.007",="0.007",="0.020**",="0.020**",="0.019**",="0.015***",="0.015***",="0.015***",="0.025***",="0.025***",="0.025***"
="",="(0.07)",="(0.07)",="(0.06)",="(2.29)",="(2.29)",="(2.25)",="(5.15)",="(5.15)",="(5.11)",="(3.58)",="(3.58)",="(3.60)"

="unexpected_item",="-0.232**",="-0.232**",="-0.240**",="-0.018**",="-0.018**",="-0.020***",="-0.004*",="-0.004*",="-0.005**",="-0.002",="-0.002",="-0.002"
="",="(-2.40)",="(-2.40)",="(-2.49)",="(-2.48)",="(-2.48)",="(-2.75)",="(-1.71)",="(-1.71)",="(-1.97)",="(-0.36)",="(-0.36)",="(-0.25)"

="sabs_spiq_ibq_w1",="0.025",="0.025",="0.020",="0.008***",="0.008***",="0.007**",="0.002",="0.002",="0.001",="0.004*",="0.004*",="0.005*"
="",="(0.59)",="(0.58)",="(0.48)",="(2.68)",="(2.68)",="(2.38)",="(1.34)",="(1.34)",="(1.07)",="(1.66)",="(1.66)",="(1.79)"

="spercent_change_cshfdq_w1",="0.076**",="0.075**",="0.076**",="0.001",="0.001",="0.001",="-0.006***",="-0.006***",="-0.006***",="-0.000",="-0.000",="-0.000"
="",="(2.01)",="(2.00)",="(2.02)",="(0.52)",="(0.51)",="(0.43)",="(-5.41)",="(-5.41)",="(-5.48)",="(-0.19)",="(-0.19)",="(-0.15)"

="stock_split",="-0.087",="-0.088",="-0.065",="-0.026",="-0.026",="-0.025",="0.012*",="0.012*",="0.012**",="0.004",="0.004",="0.004"
="",="(-0.40)",="(-0.40)",="(-0.30)",="(-1.27)",="(-1.27)",="(-1.21)",="(1.94)",="(1.94)",="(2.01)",="(0.23)",="(0.23)",="(0.22)"

="sdispersion_w1",="-0.185***",="-0.190***",="-0.252***",="-0.014***",="-0.014***",="-0.022***",="-0.015***",="-0.015***",="-0.018***",="0.007*",="0.007*",="0.009**"
="",="(-3.04)",="(-3.11)",="(-4.24)",="(-2.62)",="(-2.68)",="(-4.34)",="(-6.99)",="(-7.07)",="(-8.65)",="(1.71)",="(1.73)",="(2.45)"

="slog_lagmins_w1",="-0.000",="-0.000",="-0.004",="0.003",="0.003",="0.002",="-0.003**",="-0.003**",="-0.004***",="0.006*",="0.006*",="0.006*"
="",="(-0.01)",="(-0.01)",="(-0.08)",="(0.64)",="(0.64)",="(0.44)",="(-2.41)",="(-2.42)",="(-2.61)",="(1.80)",="(1.80)",="(1.89)"

="sabs_ibes_surp_u_price_w1",="0.585***",="0.587***",="0.497***",="0.079***",="0.079***",="0.071***",="0.017***",="0.017***",="0.014***",="0.043***",="0.043***",="0.045***"
="",="(8.33)",="(8.36)",="(7.21)",="(13.78)",="(13.82)",="(12.34)",="(6.17)",="(6.21)",="(5.21)",="(9.24)",="(9.22)",="(9.97)"

="pos_surprise",="-0.494***",="-0.495***",="-0.487***",="-0.061***",="-0.061***",="-0.060***",="-0.008***",="-0.008***",="-0.007***",="-0.044***",="-0.044***",="-0.044***"
="",="(-5.53)",="(-5.54)",="(-5.45)",="(-9.93)",="(-9.95)",="(-9.74)",="(-3.17)",="(-3.18)",="(-2.97)",="(-8.24)",="(-8.23)",="(-8.32)"

="pos_sabs_ibes_surp_u_price_w1",="0.342***",="0.341***",="0.353***",="0.009",="0.009",="0.010*",="0.004",="0.004",="0.004",="-0.042***",="-0.042***",="-0.042***"
="",="(4.32)",="(4.31)",="(4.44)",="(1.49)",="(1.47)",="(1.72)",="(1.30)",="(1.29)",="(1.49)",="(-8.57)",="(-8.57)",="(-8.69)"

="slnmve_w1",="0.593***",="0.593***",="0.636***",="0.008",="0.008",="0.012",="0.005",="0.005",="0.006",="0.067***",="0.067***",="0.066***"
="",="(2.99)",="(2.99)",="(3.21)",="(0.48)",="(0.47)",="(0.68)",="(0.78)",="(0.78)",="(1.00)",="(5.07)",="(5.08)",="(4.99)"

="sbtm_w1",="0.124",="0.125",="0.116",="0.008",="0.008",="0.007",="-0.005",="-0.005",="-0.005*",="0.001",="0.001",="0.001"
="",="(1.42)",="(1.42)",="(1.32)",="(1.08)",="(1.09)",="(0.96)",="(-1.60)",="(-1.59)",="(-1.72)",="(0.15)",="(0.15)",="(0.21)"

="sio_w1",="0.462***",="0.462***",="0.471***",="0.080***",="0.080***",="0.081***",="0.010***",="0.010***",="0.010***",="0.015**",="0.015**",="0.015**"
="",="(4.95)",="(4.94)",="(5.05)",="(9.28)",="(9.28)",="(9.38)",="(3.41)",="(3.40)",="(3.51)",="(2.57)",="(2.57)",="(2.52)"

="guidance",="-0.027",="-0.027",="-0.042",="-0.046***",="-0.046***",="-0.048***",="-0.006",="-0.006",="-0.007",="-0.017*",="-0.017*",="-0.016*"
="",="(-0.18)",="(-0.17)",="(-0.27)",="(-3.45)",="(-3.45)",="(-3.57)",="(-1.44)",="(-1.43)",="(-1.58)",="(-1.71)",="(-1.71)",="(-1.65)"

="spercent_change_ibq_w1",="-0.009",="-0.009",="-0.014",="0.003",="0.003",="0.003",="0.000",="0.000",="0.000",="0.004*",="0.004*",="0.004*"
="",="(-0.22)",="(-0.22)",="(-0.34)",="(1.23)",="(1.23)",="(1.05)",="(0.40)",="(0.40)",="(0.22)",="(1.73)",="(1.73)",="(1.80)"

="sret_vol_w1",="-0.062",="-0.062",="-0.063",="-0.161***",="-0.161***",="-0.161***",="0.006***",="0.006***",="0.006***",="-0.081***",="-0.081***",="-0.081***"
="",="(-0.80)",="(-0.80)",="(-0.81)",="(-19.79)",="(-19.78)",="(-19.82)",="(2.62)",="(2.62)",="(2.59)",="(-12.68)",="(-12.68)",="(-12.67)"

="q4",="-0.137",="-0.138",="-0.147",="0.033***",="0.033***",="0.032***",="0.008**",="0.007**",="0.007*",="0.002",="0.002",="0.003"
="",="(-1.15)",="(-1.16)",="(-1.24)",="(3.06)",="(3.06)",="(2.94)",="(2.06)",="(2.06)",="(1.94)",="(0.25)",="(0.25)",="(0.30)"

="slog_ea_count_w1",="-0.340***",="-0.340***",="-0.337***",="0.002",="0.002",="0.002",="-0.018***",="-0.018***",="-0.018***",="0.036***",="0.036***",="0.036***"
="",="(-5.15)",="(-5.15)",="(-5.11)",="(0.32)",="(0.32)",="(0.37)",="(-8.39)",="(-8.39)",="(-8.34)",="(7.83)",="(7.83)",="(7.81)"

="sstd_dev_surp_price_w1_100",="",="-0.272***",="",="",="-0.027***",="",="",="-0.010***",="",="",="0.008**",=""
="",="",="(-4.94)",="",="",="(-5.94)",="",="",="(-5.47)",="",="",="(2.40)",=""

="miss_and_beat_mbe_2",="",="",="-0.606***",="",="",="-0.025**",="",="",="-0.011***",="",="",="0.005"
="",="",="",="(-4.50)",="",="",="(-2.43)",="",="",="(-2.97)",="",="",="(0.56)"

="Constant",="19.007***",="19.007***",="19.067***",="1.076***",="1.076***",="1.080***",="0.081***",="0.081***",="0.083***",="1.476***",="1.476***",="1.476***"
="",="(186.76)",="(186.75)",="(185.97)",="(114.94)",="(114.96)",="(115.00)",="(26.14)",="(26.14)",="(26.36)",="(198.50)",="(198.51)",="(198.75)"

="N",="88809",="88809",="88809",="87595",="87595",="87595",="89509",="89509",="89509",="89509",="89509",="89509"
="r2_a",="0.069",="0.069",="0.068",="0.270",="0.270",="0.270",="0.179",="0.179",="0.179",="0.162",="0.162",="0.162"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
