="Rank Correlations"
="",="(1)",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",=""
="",="rank_lag_accuracy",="rank_earn_persist",="rank_cf_persist",="rank_exp",="actual_agree",="rank_media",="rank_following",="srank_avg_quality"
="rank_lag_accuracy",="1.000",="",="",="",="",="",="",=""
="rank_earn_persist",="0.039***",="1.000",="",="",="",="",="",=""
="rank_cf_persist",="0.017***",="0.609***",="1.000",="",="",="",="",=""
="rank_exp",="0.038***",="-0.012*",="-0.011*",="1.000",="",="",="",=""
="actual_agree",="0.075***",="0.065***",="0.061***",="-0.005",="1.000",="",="",=""
="rank_media",="0.005",="0.069***",="0.066***",="-0.013**",="0.025***",="1.000",="",=""
="rank_following",="0.138***",="0.001",="0.016**",="0.049***",="0.081***",="0.030***",="1.000",=""
="srank_avg_quality",="0.478***",="0.320***",="0.311***",="0.379***",="0.198***",="0.050***",="0.461***",="1.000"
