"fdp","quality","n","ret_0_1","t_0_1","ret_1_30","t_1_30","ret_2_30","t_2_30"
"IBES","High",5246,1.0833884830065,8.97207619859892,0.520587885219594,2.78796812715127,0.387338211332956,2.21951891483934
"IBES","Low",1020,0.737532215979314,2.08360736654938,-0.0433007690143475,-0.0961264739184853,0.106743933165719,0.25093826070697
"CIQ","High",3114,1.31070498400668,7.81214936827704,0.31618995256939,1.30895208735988,0.215212697565812,0.958152367233954
"CIQ","Low",2540,0.37358821623567,2.27943933044687,0.236397379996674,0.941898408266484,0.245520847316726,1.03411224510657
"Zacks","High",2479,0.816222966857119,4.95889457327948,0.309590114731924,1.09246162923991,0.133730240033938,0.519715668081048
"Zacks","Low",3573,0.254930642974643,1.58776673962201,-0.314183836195677,-1.36455745613004,-0.348247433251369,-1.61009200737177
"Bloomberg","High",2832,0.745372399943963,4.36963085322502,-0.452242859913766,-1.74070743385698,-0.44323799127388,-1.82036290556373
"Bloomberg","Low",3242,0.252660237067952,1.47562167695952,-0.150820789959502,-0.648348353871604,-0.109051747533561,-0.503415765669506
"FactSet","High",2565,0.561165647936921,2.74437842316056,-0.180282673781449,-0.656825267422082,-0.126944016192759,-0.481319840838078
"FactSet","Low",3695,0.144735456297591,0.988998877100213,0.128625672837659,0.626699262842541,0.0851729428422851,0.456078211160152
